Dataset,Algorithm,Population Length,Generations,Selection Scheme,Selection Candidates,Crossover Scheme,Crossover Probability,Mutation Scheme,Mutation Probability,Replacement Scheme,Time(s),AvgValue,BestAvgValue,BestGeneration,HV,Spread,NumSolutions,Spacing,NumGenerations
s3,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,871.2217881679535,0.41753070453136615,0.479616984604025,95,0.26273393521842037,0.9693254047943293,100,0.18489968895671458,100
s3,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,852.251439332962,0.40621424065803907,0.48647572206209205,99,0.2910172567506724,0.969142440816652,100,0.20376573538095388,100
s3,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,869.007556438446,0.41937026346987705,0.48090918592610765,98,0.2593983587911034,0.9709261358243202,100,0.20494457998163726,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,1.0,elitism,199.12169098854065,0.516622101155168,0.6050004188189307,84,0.77152005888848,0.9577842396258561,22,0.239829041139199,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,1.0,elitism,210.0856010913849,0.5234907854602258,0.5942437585897375,63,0.5186897313213105,0.8549160114634594,21,0.2813546273066877,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,1.0,elitism,212.69665718078613,0.40097976278891195,0.5980853953801938,11,0.6144510642865908,0.9014619749850693,25,0.4077755533479941,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,1.0,elitism,184.58131074905396,0.5046204791778532,0.5878684357688059,70,0.7842756256900995,0.9552792355828814,26,0.25599235066811166,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,1.0,elitism,211.04049921035767,0.4950521405802732,0.6048215414628543,29,0.48998159735001834,0.8606758656647914,18,0.3405015567994207,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,1.0,elitism,202.56837272644043,0.18809296542209433,0.6426859264030318,85,0.661877070298123,0.9404822546635205,21,0.5751131278729347,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,1.0,elitism,203.33264183998108,0.5151569571433543,0.5858997767298906,27,0.6100114249785303,0.9519990985723502,25,0.21575789338423446,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,1.0,elitism,198.23572397232056,0.5036009072510562,0.6129034284704122,26,0.5766283278125384,0.8593916770059518,23,0.27953596501597106,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,1.0,elitism,210.2626450061798,0.5025460802794525,0.6234686609686612,4,0.5120012881854988,0.9496323401181913,26,0.25449858581891616,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,1.0,elitism,187.62812304496765,0.5275533562505119,0.6266688152786246,38,0.6464410041712675,0.9522726935584764,22,0.1745384136467616,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,181.4358401298523,0.5168419841986444,0.6435695459609272,47,1.0,0.9622701791035272,55,0.37991789840013473,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,179.49832439422607,0.5212075054576822,0.6435695459609272,60,0.8718105140473562,0.9636963769053142,56,0.3774043026406397,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,179.59515476226807,0.5164905739657459,0.6435695459609272,50,1.0,0.9634812097203787,54,0.3860792536513854,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,182.12601709365845,0.5171026506214429,0.6435695459609272,48,1.0,0.9634487642438117,56,0.3852546580405391,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flipeachbit,0.05,elitism,185.52855920791626,0.5171026506214429,0.6435695459609272,24,1.0,0.9634487642438117,56,0.3852546580405391,100
