Dataset,Algorithm,Iterations,Solutions per Iteration,Initialization Type,Local Search Type,Time(s),AvgValue,BestAvgValue,HV,Spread,NumSolutions,Spacing,NumGenerations
2,GRASP,500,100,uniform,best_first_neighbor_sorted_score_r,844.9755437374115,0.004057800503398805,0.006809909592579547,0.008883022428680562,0.6130255720188044,182,0.21109984207327098,500
2,GRASP,500,100,uniform,best_first_neighbor_sorted_score_r,855.0703277587891,0.004068843534348933,0.006809909592579547,0.008883022428680562,0.6765784923326376,188,0.2124124304703316,500
2,GRASP,500,100,uniform,best_first_neighbor_sorted_score_r,829.3171753883362,0.004068603557530999,0.006809909592579547,0.008883022428680562,0.6814484027467671,199,0.21509378240520877,500
2,GRASP,500,100,uniform,best_first_neighbor_sorted_score_r,830.7348947525024,0.004088777172256733,0.006809909592579547,0.009119092350213638,0.6692709021288906,209,0.22398186573502848,500
2,GRASP,500,100,uniform,best_first_neighbor_sorted_score_r,823.7574179172516,0.00406941137914659,0.006868615709756957,0.009119092350213638,0.6458205450010079,210,0.21629509465764366,500
2,GRASP,500,100,uniform,best_first_neighbor_sorted_score_r,826.4209818840027,0.004081527919352114,0.006868615709756957,0.009119092350213638,0.6768944427962197,216,0.22224194621468285,500
2,GRASP,500,100,uniform,best_first_neighbor_sorted_score_r,838.3568208217621,0.004099987377229381,0.006868615709756957,0.009119092350213638,0.6658723411452275,219,0.22958577373554398,500
2,GRASP,500,100,uniform,best_first_neighbor_sorted_score_r,925.249415397644,0.004099215084226004,0.006868615709756957,0.009119092350213638,0.655876418055813,225,0.22845828424358447,500
2,GRASP,500,100,uniform,best_first_neighbor_sorted_score_r,908.4115633964539,0.004094086792349307,0.006868615709756957,0.009119092350213638,0.6564486476636003,232,0.22826424294823977,500
2,GRASP,1000,100,uniform,best_first_neighbor_sorted_score,262.0259499549866,0.0022879265048266046,0.006809909592579547,0.21786706240364015,0.6414778831630392,171,0.3453791125736829,1000
2,GRASP,1000,100,uniform,best_first_neighbor_sorted_score,246.1365876197815,0.002285675863018673,0.006809909592579547,0.21786706240364015,0.6802000916502088,199,0.33352781702948375,1000
2,GRASP,1000,100,uniform,best_first_neighbor_sorted_score,243.5770754814148,0.0023076805937651285,0.006809909592579547,0.21786706240364015,0.6487851908872134,214,0.33031691347519804,1000
2,GRASP,1000,100,uniform,best_first_neighbor_sorted_score,246.8089702129364,0.00225278247658811,0.006868615709756957,0.21786706240364015,0.6648771191066308,222,0.29923301204488906,1000
2,GRASP,1000,100,uniform,best_first_neighbor_sorted_score,249.15029406547546,0.0022330343594590377,0.006868615709756957,0.21786706240364015,0.7140602856123934,222,0.2827995264996388,1000
2,GRASP,1000,100,uniform,best_first_neighbor_sorted_score,244.85072445869446,0.0022501221406691562,0.006868615709756957,0.21786706240364015,0.6966323435843439,240,0.28758804792135906,1000
2,GRASP,1000,100,uniform,best_first_neighbor_sorted_score,246.2850260734558,0.0022275333925500466,0.006868615709756957,0.21786706240364015,0.6989028999918211,262,0.2814474455611675,1000
2,GRASP,1000,100,uniform,best_first_neighbor_sorted_score,245.8506932258606,0.0022534379902628323,0.006868615709756957,0.21786706240364015,0.7455100583402862,271,0.28567621726238035,1000
